title,make,model,era,origin,vehicleLocation,seller,sellerLocation,sellerType,listingDetail1,listingDetail2,listingDetail3,listingDetail4,listingDetail5,views,watchers,dateSold,saleAmount,auctionUrl,scrapedAt
1950 Studebaker Champion Deluxe 2-Door Sedan 3-Speed Project,Studebaker,Studebaker Champion,1950s,American,United States,GT1942,"Los Angeles, California 90025",Dealer,Chassis: G661824,29k Miles Shown,170ci Inline-Six,Three-Speed Manual Transmission,Green Paint,5658,607,1/14/26,4900,https://bringatrailer.com/listing/1950-studebaker-champion-27/,2026-01-14T21:02:59.894Z
350-Powered 1956 Ford F-100,Ford,Ford F-Series 1953-1956,1950s,American,United States,911r,"Portland, Oregon 97227",Dealer,Chassis: F10V6R200136,"29k Miles Shown, TMU",Chevrolet 350ci V8,Three-Speed Automatic Transmission,Repainted Teal,17771,1060,1/14/26,40000,https://bringatrailer.com/listing/1956-ford-f-100-163/,2026-01-14T21:03:02.019Z
44k-Mile 2007 Cadillac DTS Luxury II,Cadillac,Cadillac DTS,2000s,American,United States,2FAM,"Costa Mesa, California 92627",Dealer,Chassis: 1G6KD57Y17U216872,Luxury II Package,44k Miles,4.6-Liter Northstar V8,Four-Speed Automatic Transaxle,4048,437,1/14/26,8612,https://bringatrailer.com/listing/2007-cadillac-dts-23/,2026-01-14T21:03:04.138Z
427R-Powered Backdraft Racing RT3 GT Roadster Jack Roush Edition 5-Speed,Shelby,Shelby Cobra Replica,2010s,American,United States,AuthenticAuctions,"Harwinton, Connecticut 06791",Dealer,Chassis: AE9BMAAH6H1MT1083,"1,700 Miles Shown",Roush Performance 427R V8,Holley Carburetor,Edelbrock Intake Manifold,7507,1007,1/14/26,104000,https://bringatrailer.com/listing/backdraft-racing-gt-roadster-jack-roush-edition/,2026-01-14T21:03:06.335Z
1971 Mercedes-Benz 280SE 3.5 Coupe,Mercedes-Benz,Mercedes-Benz W111 Coupe & Cabriolet,1970s,German,United States,911r,"Portland, Oregon 97227",Dealer,Chassis: 11102612002943,80k Miles Shown,3.5-Liter M116 V8,Four-Speed Automatic Transmission,Blue Metallic,13989,1493,1/14/26,110282,https://bringatrailer.com/listing/1971-mercedes-benz-280se-3-5-coupe-47/,2026-01-14T21:03:08.527Z
1969 Chevrolet Camaro Z11 Pace Car Convertible 396 4-Speed,Chevrolet,Chevrolet Camaro (1st Generation – 1967-1969),1960s,American,United States,gtautolounge,"Rancho Cordova, California 95742",Dealer,Chassis: 124679N617205,"871 Miles Shown, TMU",396ci Turbo-Jet V8,Muncie 4-Speed Manual Transmission,12-Bolt Rear End,17057,1920,1/14/26,124000,https://bringatrailer.com/listing/1969-chevrolet-camaro-ss-98/,2026-01-14T21:03:10.653Z
1995 Porsche 911 Carrera Coupe 6-Speed,Porsche,Porsche 993 911 (Non-Turbo/GT2),1990s,German,United States,Stunt_Road,"Imperial Beach, California 91932",Private,Chassis: WP0AA299XSS322974,117k Miles Shown,3.6‑Liter Flat‑Six,Six‑Speed Manual Transaxle,Midnight Blue Metallic Paint,13120,1544,1/14/26,97000,https://bringatrailer.com/listing/1995-porsche-911-carrera-coupe-133/,2026-01-14T21:03:15.143Z
13k-Mile 2012 Porsche 911 Carrera 4S Cabriolet 6-Speed,Porsche,Porsche 997 911 Carrera 4S,2010s,German,United States,michaelmotorcar,"Neptune, New Jersey 07753",Dealer,Chassis: WP0CB2A95CS754763,13k Miles,3.8-Liter Flat-Six,Six-Speed Manual Transaxle,All-Wheel-Drive System,7702,1187,1/14/26,89000,https://bringatrailer.com/listing/2012-porsche-911-carrera-4s-cabriolet-10/,2026-01-14T21:03:17.479Z
"4,600-Mile 2019 Porsche 911 GT3 RS",Porsche,Porsche 991 911 GT3,2010s,German,United States,GasolineAlleyGarage,"Azusa, California 91702",Private,Chassis: WP0AF2A97KS165367,"4,600 Miles",4.0-Liter Flat-Six,Seven-Speed PDK Dual-Clutch Transaxle,White Paint,12161,1545,1/14/26,247991,https://bringatrailer.com/listing/2019-porsche-911-gt3-rs-96/,2026-01-14T21:03:19.309Z
1991 Alfa Romeo Spider Veloce,Alfa Romeo,Alfa Romeo 105/115 Spider Series 4,1990s,Italian,United States,WestsideCCS,"Culver City, California 90230",Private,Chassis: ZARBB32N3M6007899,134k Miles Shown,2.0-Liter Inline-Four,Five-Speed Manual Transmission,Alfa Red Paint,6400,741,1/14/26,11250,https://bringatrailer.com/listing/1991-alfa-romeo-spider-109-2/,2026-01-14T21:03:23.945Z
